"","name","country_parent","total","dems","repubs","year"
"79","Heineken USA (Heineken NV)","Netherlands/Heineken NV","$12,000","$8,000","$4,000",2002
"80","Hill & Knowlton (WPP Group)","UK/WPP Group","$30,000","$17,500","$12,500",2002
"81","Hoffmann-La Roche (Roche Holdings)","Switzerland/Roche Holdings","$101,800","$60,300","$41,500",2002
"82","Holcim US","Switzerland/Holcim Ltd","$71,838","$24,213","$47,625",2002
"83","HSBC USA","UK/HSBC Holdings","$5,330","$3,000","$2,330",2002
"84","ING US (ING Group)","Netherlands/ING Group","$149,395","$52,000","$97,395",2002
"85","Instinet Corp","UK/Reuters Group","$67,500","$23,500","$44,000",2002
"86","JA Jones Construction (Philipp Holzmann AG)","Germany/Philipp Holzmann AG","$2,900","$1,400","$1,500",2002
"87","Jackson National Life Insurance","UK/Prudential PLC","$71,821","$21,000","$50,821",2002
"88","Joseph E Seagram & Sons (Diageo PLC)","UK/Diageo PLC","$26,300","$10,300","$16,000",2002
